hourly.dewpoint_2m,hourly.apparent_temperature,hourly.precipitation,hourly.time,hourly.freezinglevel_height,hourly.snow_height,hourly.relativehumidity_2m,hourly.temperature_2m,hourly.pressure_msl,hourly.weathercode,generationtime_ms,longitude,hourly_units.snow_height,hourly_units.freezinglevel_height,hourly_units.apparent_temperature,hourly_units.pressure_msl,hourly_units.time,hourly_units.temperature_2m,hourly_units.precipitation,hourly_units.dewpoint_2m,hourly_units.relativehumidity_2m,hourly_units.weathercode,elevation,latitude,utc_offset_seconds
8.4,9.8,0,2021-11-23T06:00,2376,0,84,11,1013.2,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8.3,9.7,0,2021-11-23T07:00,2366,0,83,10.9,1013.7,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8.3,9.9,0,2021-11-23T08:00,2360,0,83,11.1,1014.2,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8.6,10.7,0,2021-11-23T09:00,2352,0,80,12,1014.7,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
9.1,12.1,0,2021-11-23T10:00,2354,0,76,13.3,1015.2,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
9.5,13.2,0,2021-11-23T11:00,2364,0,72,14.6,1015.2,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.3,14.4,0,2021-11-23T12:00,2388,0,71,15.6,1014.7,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.1,15,0,2021-11-23T13:00,2392,0,66,16.3,1014.7,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
9.9,15.2,0,2021-11-23T14:00,2384,0,65,16.5,1014.7,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
9.8,15,0,2021-11-23T15:00,2386,0,66,16.3,1015.2,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8.9,14.2,0,2021-11-23T16:00,2366,0,64,15.7,1015.2,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8.4,13,0,2021-11-23T17:00,2360,0,67,14.4,1015.2,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8.3,11.9,0,2021-11-23T18:00,2348,0,71,13.2,1016.2,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8,10.9,0,2021-11-23T19:00,2320,0,74,12.3,1016.7,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
7.5,10.1,0,2021-11-23T20:00,2308,0,74,11.8,1017.2,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
7.1,9.5,0,2021-11-23T21:00,2302,0,75,11.3,1017.2,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
6.6,9,0,2021-11-23T22:00,2280,0,74,11.1,1017.7,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
6.4,8.7,0,2021-11-23T23:00,2264,0,74,10.9,1017.7,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
6.3,8.5,0,2021-11-24T00:00,2274,0,75,10.5,1017.7,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
6,8.2,0,2021-11-24T01:00,2256,0,74,10.4,1017.7,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
5.9,7.9,0,2021-11-24T02:00,2270,0,75,10.1,1017.7,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
5.7,7.4,0,2021-11-24T03:00,2260,0,76,9.7,1017.7,1,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
5.4,7.1,0,2021-11-24T04:00,2234,0,76,9.4,1017.7,1,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
5.3,6.8,0,2021-11-24T05:00,2204,0,77,9.1,1017.7,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
5.2,6.6,0,2021-11-24T06:00,2188,0,78,8.8,1017.7,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
5.2,6.5,0,2021-11-24T07:00,2214,0,79,8.7,1017.7,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
5.3,6.7,0,2021-11-24T08:00,2266,0,78,8.9,1017.7,1,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
5.4,8,0,2021-11-24T09:00,2292,0,72,10.4,1018.2,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
6,9.4,0,2021-11-24T10:00,2306,0,67,11.9,1018.2,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
6.6,10.7,0,2021-11-24T11:00,2306,0,66,12.9,1018.2,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
7.2,11.7,0,2021-11-24T12:00,2336,0,65,13.6,1017.7,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
7.6,12.5,0,2021-11-24T13:00,2326,0,65,14.2,1016.7,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8.1,13.2,0,2021-11-24T14:00,2360,0,65,14.7,1016.2,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8.7,13.3,0,2021-11-24T15:00,2366,0,68,14.6,1015.7,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
9.4,13.3,0,2021-11-24T16:00,2334,0,73,14.1,1015.2,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
9.5,12.8,0,2021-11-24T17:00,2436,0,76,13.6,1014.7,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
9.7,12.5,0,2021-11-24T18:00,2370,0,80,13.2,1014.7,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10,12.4,0,2021-11-24T19:00,2394,0,82,13,1014.7,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
9.8,12.4,0,2021-11-24T20:00,2392,0,81,13.1,1014.7,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
9.1,12.5,0,2021-11-24T21:00,2386,0,78,13.2,1014.2,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8.5,12.3,0,2021-11-24T22:00,2370,0,73,13.2,1013.7,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8.2,12.1,0,2021-11-24T23:00,2350,0,71,13.2,1013.7,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8.3,11.7,0,2021-11-25T00:00,2330,0,74,12.8,1012.7,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8.4,11.5,0,2021-11-25T01:00,2304,0,76,12.5,1012.2,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8.6,11.5,0,2021-11-25T02:00,2304,0,78,12.4,1011.7,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
9.1,11.5,0.11,2021-11-25T03:00,2238,0,81,12.3,1011.2,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
9.6,11.7,0.02,2021-11-25T04:00,2260,0,83,12.4,1010.2,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.3,11.4,0.18,2021-11-25T05:00,2208,0,86,12.4,1009.7,61,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.9,11.5,0.98,2021-11-25T06:00,2168,0,89,12.5,1009.7,61,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.9,11.3,2.93,2021-11-25T07:00,2210,0,90,12.4,1009.2,63,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.9,11.4,2.18,2021-11-25T08:00,2172,0,88,12.6,1009.2,61,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
11.5,11.9,2.41,2021-11-25T09:00,2152,0,89,13.2,1008.7,61,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
11.3,11.9,0.85,2021-11-25T10:00,2170,0,84,13.8,1008.2,61,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
11.8,12.2,1.07,2021-11-25T11:00,2160,0,86,14.1,1008.2,61,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
12,12.8,1.4,2021-11-25T12:00,2168,0,86,14.3,1007.2,61,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
12,12.8,1.03,2021-11-25T13:00,2156,0,87,14.3,1006.7,61,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
11.8,12.7,2.59,2021-11-25T14:00,2148,0,86,14.3,1006.2,61,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
11.6,12.6,2.59,2021-11-25T15:00,2138,0,85,14.2,1005.7,61,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
11.3,12.4,2.59,2021-11-25T16:00,2146,0,84,14,1005.2,61,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
11.1,12.5,0.19,2021-11-25T17:00,2188,0,84,13.8,1005.2,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.9,12.5,0.19,2021-11-25T18:00,2248,0,84,13.5,1004.7,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.7,12.6,0.19,2021-11-25T19:00,2298,0,85,13.3,1004.7,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
11,12.8,0.39,2021-11-25T20:00,2282,0,87,13.2,1004.2,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
11.4,13.2,0.39,2021-11-25T21:00,2242,0,89,13.2,1004.2,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
11.7,13.1,0.39,2021-11-25T22:00,2192,0,92,13,1004.2,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
11.5,12.5,0.06,2021-11-25T23:00,2178,0,93,12.5,1003.7,1,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
11.1,11.7,0.06,2021-11-26T00:00,2170,0,94,11.9,1003.7,1,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.6,10.8,0.06,2021-11-26T01:00,2148,0,95,11.3,1003.2,1,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.4,10.4,0.55,2021-11-26T02:00,2112,0,95,11,1003.2,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.2,10.2,0.55,2021-11-26T03:00,2064,0,95,10.9,1003.2,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10,10,0.55,2021-11-26T04:00,2007,0,93,10.8,1002.7,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
9.9,9.8,0.31,2021-11-26T05:00,1976,0,93,10.8,1002.7,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
9.8,9.8,0.31,2021-11-26T06:00,1950,0,92,10.9,1002.7,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
9.8,10,0.31,2021-11-26T07:00,1933,0,90,11.2,1002.7,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10,10.5,0.25,2021-11-26T08:00,1942,0,88,11.7,1002.7,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.4,11.2,0.25,2021-11-26T09:00,1964,0,86,12.4,1003.2,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.7,12.2,0.25,2021-11-26T10:00,1993,0,83,13.4,1003.7,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.6,12.7,0.15,2021-11-26T11:00,2011,0,79,14.1,1003.7,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.3,13.3,0.15,2021-11-26T12:00,2028,0,74,14.9,1003.2,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
9.9,13.7,0.15,2021-11-26T13:00,2041,0,69,15.6,1003.2,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
9.7,13.7,0.04,2021-11-26T14:00,2038,0,68,15.7,1003.7,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
9.5,13.5,0.04,2021-11-26T15:00,2027,0,67,15.5,1003.7,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
9.3,13.1,0.04,2021-11-26T16:00,2016,0,69,14.9,1004.2,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
9.4,12.7,0.14,2021-11-26T17:00,2015,0,73,14.3,1004.2,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
9.6,12.2,0.14,2021-11-26T18:00,2017,0,78,13.4,1004.7,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
9.9,11.2,0.14,2021-11-26T19:00,2020,0,84,12.5,1005.2,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10,10.7,0.3,2021-11-26T20:00,2022,0,87,12.1,1005.2,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10,10.5,0.3,2021-11-26T21:00,2023,0,88,11.9,1005.2,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.1,10.3,0.3,2021-11-26T22:00,2017,0,90,11.8,1005.2,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.3,10.5,1.99,2021-11-26T23:00,2002,0,91,11.8,1005.2,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.5,10.8,1.99,2021-11-27T00:00,1980,0,91,11.9,1005.2,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.7,11.1,1.99,2021-11-27T01:00,1950,0,92,12,1004.7,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.8,11.1,0.97,2021-11-27T02:00,1927,0,92,12,1004.7,95,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.7,10.9,0.97,2021-11-27T03:00,1903,0,92,11.9,1004.2,95,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.6,10.7,0.97,2021-11-27T04:00,1885,0,91,11.9,1003.7,95,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.6,10.8,2.15,2021-11-27T05:00,1891,0,91,12,1003.2,95,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.6,10.9,2.15,2021-11-27T06:00,1909,0,90,12.1,1002.7,95,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.5,10.9,2.15,2021-11-27T07:00,1928,0,90,12.3,1001.7,95,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.2,11.4,0.45,2021-11-27T08:00,1909,0,84,12.5,1004,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.4,11.3,0.45,2021-11-27T09:00,1895,0,84,12.5,1004,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.6,11.2,0.45,2021-11-27T10:00,1874,0,85,12.5,1004,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.6,11.3,1,2021-11-27T11:00,1859,0,85,12.7,1003.5,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.5,11.4,1,2021-11-27T12:00,1843,0,84,12.9,1003,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.2,11.3,1,2021-11-27T13:00,1817,0,83,13,1002.5,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
9.5,11.2,1.6,2021-11-27T14:00,1787,0,83,12.9,1002,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8.5,11.1,1.6,2021-11-27T15:00,1751,0,83,12.6,1001.5,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
7.6,10.8,1.6,2021-11-27T16:00,1723,0,84,12.1,1001.5,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
7.6,10.6,0.49,2021-11-27T17:00,1733,0,85,11.7,1001.5,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
7.8,10.1,0.49,2021-11-27T18:00,1759,0,87,11.2,1001.5,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8.1,9.2,0.49,2021-11-27T19:00,1787,0,88,10.6,1001.5,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8,8.8,0,2021-11-27T20:00,1792,0,87,10.3,1001.5,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
7.8,8.5,0,2021-11-27T21:00,1791,0,85,10.1,1001.5,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
7.5,8.2,0,2021-11-27T22:00,1783,0,83,9.8,1001.5,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
7.2,8.1,0,2021-11-27T23:00,1769,0,83,9.7,1001.5,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
6.9,8,0,2021-11-28T00:00,1748,0,83,9.5,1001,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
6.4,7.9,0,2021-11-28T01:00,1735,0,83,9.5,1000.5,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
6,8,0.04,2021-11-28T02:00,1750,0,83,9.6,1000,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
5.6,8.1,0.04,2021-11-28T03:00,1776,0,82,9.9,999.5,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
5.1,8.3,0.04,2021-11-28T04:00,1800,0,80,10.3,999.5,2,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
4.7,8.4,0.1,2021-11-28T05:00,1790,0,80,10.4,999,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
4.2,8.4,0.1,2021-11-28T06:00,1769,0,79,10.4,999,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
4.1,8.7,0.1,2021-11-28T07:00,1761,0,79,10.6,999,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
4.8,9,1.34,2021-11-28T08:00,1793,0,81,10.8,999.5,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
6,9.3,1.34,2021-11-28T09:00,1843,0,85,11,1000,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
7.2,10,1.34,2021-11-28T10:00,1896,0,85,11.6,1000.5,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
7.4,10.9,0.09,2021-11-28T11:00,1907,0,78,12.4,1000,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
7.3,11.7,0.09,2021-11-28T12:00,1906,0,67,13.5,1000,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
7.2,11.9,0.09,2021-11-28T13:00,1899,0,57,14.4,999.5,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
7.6,11.8,0.01,2021-11-28T14:00,1895,0,55,14.4,999,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8.1,11.5,0.01,2021-11-28T15:00,1888,0,56,13.9,999,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8.6,11,0.01,2021-11-28T16:00,1887,0,60,13.1,999.5,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8.5,10.4,0.01,2021-11-28T17:00,1898,0,65,12.3,999.5,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8.3,9.7,0.01,2021-11-28T18:00,1915,0,71,11.3,999.5,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8,8.6,0.01,2021-11-28T19:00,1931,0,77,10.3,1000,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8,8.3,0.03,2021-11-28T20:00,1930,0,79,10,1000,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8.1,8.3,0.03,2021-11-28T21:00,1923,0,80,9.8,1000,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8.1,8.2,0.03,2021-11-28T22:00,1920,0,81,9.7,1000,3,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
8,7.9,0.18,2021-11-28T23:00,1930,0,82,9.6,1000,80,1.8808841705322266,12.5,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,41.25,41.875,3600
10.6,10.4,0,2021-11-22T00:00,2394,0,92,11.9,1014,3,1.9450187683105469,-74,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,12.2109375,40.75,-18000
10.4,10.5,0,2021-11-22T01:00,2276,0,90,12,1014,3,1.9450187683105469,-74,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,12.2109375,40.75,-18000
10.1,10.1,0,2021-11-22T02:00,2136,0,88,12,1013,3,1.9450187683105469,-74,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,12.2109375,40.75,-18000
9.7,9.8,0,2021-11-22T03:00,2152,0,87,11.7,1012.5,3,1.9450187683105469,-74,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,12.2109375,40.75,-18000
9.3,9.4,0.07,2021-11-22T04:00,2104,0,87,11.4,1012,61,1.9450187683105469,-74,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,12.2109375,40.75,-18000
8.8,8.8,0.13,2021-11-22T05:00,2020,0,87,10.9,1011,61,1.9450187683105469,-74,m,m,°C,hPa,iso8601,°C,mm,°C,%,wmo code,12.2109375,40.75,-18000
